type_x,name,name_ext,path,folder,label_name,label_name_ext,label_path,polygon_count,type_y,soft_area,hard_area,total_area
mask,20220912_AnB_CB10 (103)_mask,20220912_AnB_CB10 (103)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (103)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (104)_mask,20220912_AnB_CB10 (104)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (104)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (110)_mask,20220912_AnB_CB10 (110)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (110)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (111)_mask,20220912_AnB_CB10 (111)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (111)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (113)_mask,20220912_AnB_CB10 (113)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (113)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (118)_mask,20220912_AnB_CB10 (118)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (118)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (12)_mask,20220912_AnB_CB10 (12)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (12)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (121)_mask,20220912_AnB_CB10 (121)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (121)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (122)_mask,20220912_AnB_CB10 (122)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (122)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (124)_mask,20220912_AnB_CB10 (124)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (124)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (125)_mask,20220912_AnB_CB10 (125)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (125)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (126)_mask,20220912_AnB_CB10 (126)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (126)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (127)_mask,20220912_AnB_CB10 (127)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (127)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (130)_mask,20220912_AnB_CB10 (130)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (130)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
mask,20220912_AnB_CB10 (133)_mask,20220912_AnB_CB10 (133)_mask.png,C:\Users\20233416\Documents\DC1\Cap_coral_reefs\New_version_of_the_project\website\benthic_datasets\mask_labels\reef_support\SEAFLOWER_BOLIVAR\masks_stitched\20220912_AnB_CB10 (133)_mask.png,SEAFLOWER_BOLIVAR,,,,0,,,,
